EWR,23,ORD,5,494683.0,
SFO,10,JFK,1,908878.0,
IAH,4,ATL,16,407982.0,
SFO,10,HNL,20,350329.0,
PHX,7,MIA,17,67922.0,
HNL,20,IAH,4,72610.0,
BOS,12,MDW,13,143631.0,
LAX,2,IAD,21,408913.0,
IAD,21,MDW,13,54820.0,
BOS,12,SAN,8,103809.0,
BWI,14,JFK,1,25997.0,
PHL,6,IAH,4,199982.0,
EWR,23,FLL,25,341116.0,
LAS,15,IAH,4,307409.0,
MSP,18,BOS,12,244862.0,
SAN,8,PHL,6,95252.0,
PHL,6,JFK,1,31210.0,
LAS,15,LAX,2,963913.0,
MDW,13,CLT,11,54381.0,
FLL,25,LGA,3,532620.0,
SFO,10,MCO,24,105525.0,
BWI,14,MIA,17,120019.0,
SAN,8,LAX,2,264133.0,
DCA,22,MDW,13,207738.0,
LAX,2,EWR,23,531521.0,
ORD,5,SFO,10,879870.0,
LAX,2,BWI,14,124037.0,
SFO,10,ATL,16,443414.0,
JFK,1,EWR,23,934.0,
LAX,2,MCO,24,275621.0,
DCA,22,CLT,11,248695.0,
EWR,23,LAS,15,217035.0,
LAS,15,DCA,22,40609.0,
TPA,19,MSP,18,131836.0,
LAS,15,FLL,25,118219.0,
EWR,23,DCA,22,84624.0,
MCO,24,DFW,9,445571.0,
LAS,15,MDW,13,332506.0,
LAX,2,PHL,6,246047.0,
IAD,21,CLT,11,174209.0,
JFK,1,LAS,15,421989.0,
DFW,9,DCA,22,352120.0,
MSP,18,EWR,23,154884.0,
LAS,15,MCO,24,103524.0,
FLL,25,IAD,21,12552.0,
PHL,6,BOS,12,489094.0,
CLT,11,LGA,3,478415.0,
CLT,11,ORD,5,455404.0,
MIA,17,CLT,11,317821.0,
PHX,7,PHL,6,317869.0,
BWI,14,MSP,18,113811.0,
IAH,4,BOS,12,180022.0,
PHL,6,DFW,9,380385.0,
JFK,1,BOS,12,419480.0,
LAS,15,LAS,15,5457.0,
SFO,10,SAN,8,567741.0,
HNL,20,SAN,8,106943.0,
MDW,13,SAN,8,155216.0,
CLT,11,IAH,4,300193.0,
FLL,25,TPA,19,196765.0,
ATL,16,SFO,10,446683.0,
SFO,10,MDW,13,92361.0,
TPA,19,ATL,16,783958.0,
IAH,4,LAS,15,312228.0,
MIA,17,MSP,18,105122.0,
IAD,21,IAH,4,153683.0,
CLT,11,PHL,6,377538.0,
LGA,3,MDW,13,223971.0,
MIA,17,DFW,9,458205.0,
LAS,15,MIA,17,157106.0,
FLL,25,LAX,2,182501.0,
IAH,4,MIA,17,264955.0,
HNL,20,IAD,21,29567.0,
MSP,18,SFO,10,352871.0,
MDW,13,IAD,21,47958.0,
CLT,11,DCA,22,249639.0,
MCO,24,ATL,16,1024678.0,
MCO,24,FLL,25,92208.0,
SFO,10,MSP,18,345635.0,
MSP,18,JFK,1,154679.0,
FLL,25,MDW,13,128223.0,
MSP,18,BWI,14,114200.0,
LAX,2,ATL,16,757790.0,
HNL,20,DFW,9,108128.0,
LGA,3,FLL,25,517557.0,
MIA,17,ORD,5,489277.0,
IAD,21,DFW,9,182698.0,
FLL,25,PHL,6,185721.0,
DCA,22,EWR,23,79223.0,
PHL,6,BWI,14,75806.0,
ORD,5,TPA,19,269764.0,
SAN,8,SFO,10,599037.0,
LGA,3,PHL,6,99231.0,
IAD,21,PHX,7,35387.0,
MCO,24,SFO,10,108083.0,
MDW,13,TPA,19,163104.0,
MCO,24,IAD,21,205590.0,
ATL,16,PHX,7,462027.0,
LAX,2,SAN,8,251460.0,
EWR,23,SFO,10,556339.0,
LAS,15,ATL,16,514756.0,
LGA,3,DCA,22,294315.0,
TPA,19,JFK,1,222154.0,
IAH,4,DCA,22,187988.0,
IAD,21,FLL,25,11412.0,
SAN,8,IAH,4,197430.0,
LAS,15,PHL,6,283238.0,
ORD,5,DFW,9,770246.0,
PHX,7,LAX,2,676010.0,
DFW,9,CLT,11,453936.0,
MIA,17,DCA,22,337489.0,
IAH,4,LAX,2,608256.0,
ORD,5,IAD,21,204853.0,
LGA,3,IAH,4,271814.0,
MCO,24,BOS,12,281387.0,
LAX,2,MDW,13,215341.0,
EWR,23,SAN,8,102806.0,
MCO,24,BWI,14,311478.0,
FLL,25,ORD,5,282450.0,
DFW,9,IAH,4,440991.0,
JFK,1,SFO,10,901718.0,
ATL,16,MIA,17,637223.0,
DFW,9,JFK,1,83593.0,
ORD,5,MIA,17,466866.0,
SFO,10,TPA,19,743.0,
MDW,13,FLL,25,126917.0,
LAS,15,IAD,21,140315.0,
PHL,6,SFO,10,241098.0,
EWR,23,IAD,21,51374.0,
MCO,24,LAS,15,103468.0,
LAX,2,FLL,25,186405.0,
DCA,22,DFW,9,349880.0,
EWR,23,LGA,3,1246.0,
DCA,22,ORD,5,547700.0,
MIA,17,PHL,6,310123.0,
LGA,3,JFK,1,394.0,
MSP,18,ATL,16,560688.0,
ATL,16,DFW,9,747386.0,
FLL,25,BOS,12,216353.0,
CLT,11,ATL,16,711093.0,
BOS,12,MSP,18,249295.0,
HNL,20,LAS,15,224284.0,
MSP,18,MCO,24,285458.0,
IAD,21,PHL,6,46582.0,
DFW,9,SAN,8,398076.0,
EWR,23,TPA,19,229423.0,
EWR,23,IAH,4,360921.0,
BOS,12,CLT,11,397797.0,
PHX,7,HNL,20,171897.0,
EWR,23,BOS,12,378017.0,
MCO,24,PHX,7,167230.0,
SAN,8,TPA,19,377.0,
SAN,8,MDW,13,149761.0,
TPA,19,DCA,22,234254.0,
IAH,4,DFW,9,435814.0,
ORD,5,EWR,23,499227.0,
JFK,1,CLT,11,269437.0,
MDW,13,SFO,10,87881.0,
ATL,16,EWR,23,415832.0,
ORD,5,HNL,20,77824.0,
PHL,6,LAS,15,274010.0,
ATL,16,MSP,18,556741.0,
DCA,22,PHL,6,87913.0,
BOS,12,BWI,14,383463.0,
LAX,2,IAH,4,578153.0,
TPA,19,MCO,24,18535.0,
BOS,12,LAS,15,109567.0,
TPA,19,IAH,4,194352.0,
MCO,24,LGA,3,369391.0,
ATL,16,JFK,1,226506.0,
JFK,1,IAD,21,85003.0,
IAD,21,TPA,19,112794.0,
ORD,5,BOS,12,694198.0,
DCA,22,IAH,4,181637.0,
ATL,16,IAH,4,407181.0,
BWI,14,BOS,12,381649.0,
EWR,23,PHX,7,237291.0,
DCA,22,JFK,1,144585.0,
SFO,10,EWR,23,572039.0,
PHL,6,MIA,17,299000.0,
EWR,23,LAX,2,506902.0,
BWI,14,DFW,9,191212.0,
BOS,12,FLL,25,209463.0,
SAN,8,PHX,7,534802.0,
PHL,6,PHX,7,307914.0,
IAD,21,JFK,1,82768.0,
DFW,9,TPA,19,256663.0,
EWR,23,HNL,20,50892.0,
LAX,2,TPA,19,71291.0,
BWI,14,LAX,2,124378.0,
MDW,13,EWR,23,152180.0,
LAS,15,SAN,8,400531.0,
MIA,17,JFK,1,412146.0,
BOS,12,MIA,17,277875.0,
MIA,17,FLL,25,571.0,
JFK,1,LGA,3,2688.0,
JFK,1,ORD,5,223295.0,
PHL,6,ATL,16,676884.0,
PHX,7,ORD,5,533165.0,
ORD,5,PHX,7,538498.0,
IAD,21,SAN,8,124023.0,
IAH,4,LGA,3,277651.0,
DFW,9,ATL,16,725077.0,
LAX,2,MSP,18,453264.0,
PHL,6,MCO,24,559315.0,
MIA,17,BOS,12,292551.0,
CLT,11,SAN,8,94879.0,
DFW,9,MCO,24,441326.0,
DFW,9,PHL,6,380184.0,
MIA,17,MCO,24,360422.0,
MSP,18,PHX,7,531885.0,
SFO,10,IAH,4,424556.0,
SAN,8,LAS,15,393624.0,
MDW,13,LAS,15,330805.0,
PHL,6,LAX,2,231988.0,
FLL,25,DCA,22,195630.0,
LAX,2,PHX,7,653126.0,
MIA,17,ATL,16,647100.0,
JFK,1,PHL,6,25558.0,
TPA,19,MIA,17,189894.0,
JFK,1,SAN,8,182324.0,
MIA,17,SFO,10,130690.0,
BOS,12,LAX,2,432569.0,
PHX,7,TPA,19,114929.0,
CLT,11,IAD,21,186720.0,
IAH,4,IAD,21,145986.0,
LAX,2,SFO,10,1398860.0,
ORD,5,MDW,13,432.0,
MSP,18,LAS,15,384276.0,
ATL,16,MDW,13,386878.0,
BWI,14,SAN,8,86861.0,
LAS,15,JFK,1,424175.0,
LAX,2,CLT,11,277787.0,
JFK,1,MIA,17,400200.0,
TPA,19,PHL,6,264504.0,
EWR,23,ATL,16,420156.0,
DFW,9,IAD,21,181860.0,
IAH,4,HNL,20,65130.0,
DCA,22,MIA,17,322033.0,
ATL,16,BOS,12,538064.0,
FLL,25,EWR,23,351872.0,
DFW,9,SFO,10,490628.0,
MIA,17,PHX,7,64982.0,
SFO,10,MIA,17,131720.0,
MIA,17,MIA,17,557.0,
SAN,8,BOS,12,107696.0,
IAH,4,FLL,25,204248.0,
MCO,24,MIA,17,361018.0,
BWI,14,IAD,21,1421.0,
DCA,22,FLL,25,191808.0,
MCO,24,EWR,23,520026.0,
JFK,1,FLL,25,398514.0,
BWI,14,TPA,19,221182.0,
EWR,23,DFW,9,294693.0,
IAD,21,ORD,5,209474.0,
IAH,4,TPA,19,188551.0,
TPA,19,ORD,5,268803.0,
PHL,6,SAN,8,86552.0,
TPA,19,CLT,11,347789.0,
BOS,12,IAH,4,179653.0,
JFK,1,MCO,24,550206.0,
LAS,15,HNL,20,229129.0,
MSP,18,PHL,6,233557.0,
DCA,22,PHX,7,122739.0,
SFO,10,BWI,14,36325.0,
LGA,3,CLT,11,484976.0,
DFW,9,LAX,2,870124.0,
ORD,5,ATL,16,676693.0,
ATL,16,FLL,25,905039.0,
MCO,24,IAH,4,324103.0,
FLL,25,BWI,14,407268.0,
